name,type,ra,dec
,star,20.795821,29.681252
,star,20.795837,-36.594676
,star,20.795898,10.465263
,star,20.796417,-51.296308
,star,20.796532,29.63793
,star,20.796597,26.177979
,star,20.796633,3.306467
,star,20.796676,31.671812
,star,20.796759,6.008209
,star,20.796802,-32.913396
,star,20.797025,47.831869
,star,20.797047,-23.475263
,star,20.797222,44.766937
,star,20.797334,56.026026
,star,20.797895,20.403162
,star,20.797913,27.595446
,star,20.798005,-27.750235
,star,20.798038,52.407167
,star,20.79877,-30.241706
,star,20.799152,-45.217472
,star,20.799636,-60.851905
,star,20.799823,87.537454
,star,20.799853,-32.292983
,star,20.799885,39.287701
,star,20.801483,-34.749654
,star,20.801738,27.457106
,star,20.802232,-52.561064
,star,20.802286,-9.748809
,star,20.802707,2.715467
,star,20.802856,24.639897
,star,20.802991,-6.022793
,star,20.803013,28.529428
,star,20.803366,49.995537
,star,20.803589,-16.521325
,star,20.803658,-16.738897
,star,20.8038,-19.260296
,star,20.803833,-78.951093
,star,20.803972,-0.299328
,star,20.80422,15.46957
,star,20.804219,-12.454304
,star,20.804255,14.741443
,star,20.804318,-4.640282
,star,20.804529,44.076628
,star,20.804696,-22.84554
,star,20.804723,-71.349011
,star,20.805115,-44.196832
,star,20.805127,-13.488664
,star,20.805335,-40.001193
,star,20.805791,58.256934
,star,20.805965,7.594224
,star,20.806052,-22.740709
,star,20.806354,-49.951084
,star,20.806471,-37.363258
,star,20.806524,21.233305
,star,20.806694,-3.663321
,star,20.806823,3.649037
,star,20.806937,-18.199959
,star,20.806968,-54.511556
,star,20.806993,26.820318
,star,20.807098,68.032895
,star,20.807191,36.818866
,star,20.807215,-18.201718
,star,20.807316,45.452103
,star,20.807566,0.196039
,star,20.807725,-31.436907
,star,20.807723,1.722715
,star,20.807753,-14.906221
,star,20.807935,-74.308116
,star,20.808084,-43.988544
,star,20.808225,69.657901
,star,20.808337,-82.268673
,star,20.808566,-57.705824
,star,20.808665,-48.669775
,star,20.808902,23.011754
,star,20.809035,74.489872
,star,20.809104,53.906101
,star,20.80925,21.626671
,star,20.809593,-20.783988
,star,20.809943,9.466258
,star,20.809955,35.910713
,star,20.810047,-43.007547
,star,20.810205,17.839923
,star,20.810435,30.792804
,star,20.810571,-58.969355
,star,20.811526,-51.264826
,star,20.811541,54.092816
,star,20.811574,1.527594
,star,20.811872,51.910331
,star,20.811892,19.859554
,star,20.811916,41.76285
,star,20.813259,70.722798
,star,20.81329,48.23323
,star,20.813383,-72.212081
,star,20.814071,-59.234435
,star,20.81409,5.199664
,star,20.814219,22.994154
,star,20.814692,11.86485
,star,20.815275,45.624231
,star,20.815472,-20.618974
,star,20.815637,46.114134
,star,20.815688,-68.791254
,star,20.815786,-19.019196
,star,20.815918,61.118758
,star,20.816587,25.672426
,star,20.81681,38.865114
,star,20.816845,39.79164
,star,20.816898,-72.532731
,star,20.816901,31.848822
,star,20.817091,-29.032888
,star,20.81718,-36.780862
,star,20.817471,19.815216
,star,20.8176,22.391278
,star,20.81776,-33.015071
,star,20.817813,-12.610607
,star,20.817927,6.08391
,star,20.818068,25.670289
,star,20.818479,58.747158
,star,20.818517,-21.633249
,star,20.81857,-81.170106
,star,20.818649,-45.703376
,star,20.81868,24.948368
,star,20.818726,42.954928
,star,20.81896,54.233781
,star,20.819004,37.523463
,star,20.819119,40.915522
,star,20.819331,-48.769351
,star,20.819329,39.290137
,star,20.819421,54.365696
,star,20.819477,-54.777739
,star,20.819887,45.41105
,star,20.820017,35.563564
,star,20.820237,5.025224
,star,20.820593,-52.707223
,star,20.820738,14.605778
,star,20.820763,-48.224484
,star,20.820801,38.006368
,star,20.820837,62.529706
,star,20.820884,-20.63079
,star,20.821068,-46.648828
,star,20.821169,33.229761
,star,20.821202,54.527277
,star,20.82118,32.284787
,star,20.821234,47.051386
,star,20.821245,41.142684
,star,20.821371,-30.192152
,star,20.821455,-0.563337
,star,20.821498,64.042257
,star,20.821559,-25.78124
,star,20.821733,-68.776521
,star,20.821813,4.031673
,star,20.821834,-69.471557
,star,20.821947,58.748739
,star,20.822062,-8.794053
,star,20.822177,18.48749
,star,20.822292,17.930629
,star,20.822373,-18.035855
,star,20.822821,83.941765
,star,20.823238,11.402352
,star,20.823307,-42.189045
,star,20.823497,11.403681
,star,20.823634,-11.454936
,star,20.824098,28.665341
,star,20.824577,75.756046
,star,20.824666,42.639181
,star,20.824684,-51.890525
,star,20.824709,-46.226826
,star,20.824768,71.774788
,star,20.824748,-41.7115
,star,20.824841,-8.652505
,star,20.825497,43.772675
,star,20.825765,8.696683
,star,20.825863,50.783185
,star,20.825988,41.617394
,star,20.826367,-63.728888
,star,20.826738,30.65044
,star,20.826802,15.992006
,star,20.826865,51.314304
,star,20.826984,-3.88875
,star,20.827016,-80.133613
,star,20.827134,50.127082
,star,20.827158,12.545128
,star,20.827382,26.904083
,star,20.827514,13.96294
,star,20.827659,-75.83349
,star,20.828022,26.939626
,star,20.828088,-2.695231
,star,20.828104,24.866084
,star,20.828438,-25.805524
,star,20.828704,0.325554
,star,20.829489,11.494906
,star,20.829571,25.770914
,star,20.829761,-53.625549
,star,20.82999,-28.469211
,star,20.829999,-36.855053
,star,20.830072,7.864185
,star,20.830219,-6.696926
,star,20.830224,-33.923869
,star,20.830286,-24.821623
,star,20.830559,-0.324278
,star,20.831024,64.592998
,star,20.83121,-65.558735
,star,20.83134,-69.689357
,star,20.831846,46.661337
,star,20.832196,-67.697583
,star,20.832335,-5.146664
,star,20.832558,40.042819
,star,20.8328,-33.779722
,star,20.832981,2.433809
,star,20.833082,5.54456
,star,20.83342,10.441697
,star,20.833514,45.346172
,star,20.833635,20.880089
,star,20.833799,-23.572961
,star,20.834196,7.850243
,star,20.834214,-39.708487
,star,20.834361,26.070797
,star,20.834446,0.359284
,star,20.834524,-75.91015
,star,20.834659,16.984635
,star,20.834695,44.059304
,star,20.834743,-27.367705
,star,20.834776,-35.559021
,star,20.834856,27.377701
,star,20.8351,-27.365742
,star,20.835812,-33.577191
,star,20.835968,13.29835
,star,20.836265,29.384115
,star,20.83664,12.083681
,star,20.83686,3.652321
,star,20.83696,-38.241078
,star,20.837768,-75.037847
,star,20.838099,-30.423383
,star,20.838214,17.212229
,star,20.838402,56.798442
,star,20.838426,-48.572726
,star,20.838569,-67.184338
,star,20.838678,-30.102817
,star,20.839603,-40.608471
,star,20.839889,31.353116
,star,20.840137,14.062967
,star,20.840362,-51.976235
,star,20.84078,5.061217
,star,20.840802,-72.981157
,star,20.840949,-82.263266
,star,20.841706,-24.982819
,star,20.842491,52.899601
,star,20.842456,29.97755
,star,20.842459,-42.488579
,star,20.842651,-58.923628
,star,20.84309,23.745505
,star,20.8433,-15.51093
,star,20.843345,30.912682
,star,20.843435,30.413063
,star,20.843627,18.051286
,star,20.843649,61.609498
,star,20.844046,22.730394
,star,20.844254,26.346264
,star,20.844288,-55.371053
,star,20.844321,36.544773
,star,20.844342,-27.976686
,star,20.844347,42.381991
,star,20.84438,19.366834
,star,20.844542,-44.888645
,star,20.844799,53.304971
,star,20.844856,20.475552
,star,20.844879,-9.479858
,star,20.844938,-12.544906
,star,20.844951,-31.262597
,star,20.845056,-4.790897
,star,20.845164,85.867953
,star,20.845238,-56.241686
,star,20.845463,29.803346
,star,20.845613,55.023763
,star,20.846083,-39.10085
,star,20.846149,25.840072
,star,20.84642,-39.396543
,star,20.84643,-32.054604
,star,20.84676,22.538253
,star,20.846897,-14.200383
,star,20.847048,-3.355539
,star,20.84737,-70.984132
,star,20.847759,-61.421568
,star,20.847988,35.92206
,star,20.848374,-21.312349
,star,20.848675,33.759526
,star,20.848888,34.75402
,star,20.849168,48.030492
,star,20.849183,-42.294574
,star,20.849207,-17.291174
,star,20.8493,-1.83693
,star,20.849757,85.868004
,star,20.850211,-37.913332
,star,20.850269,18.066162
,star,20.850469,46.040135
,star,20.851071,50.949476
,star,20.851138,52.395729
,star,20.851509,51.417247
,star,20.8516,-16.414613
,star,20.851855,7.027004
,star,20.852656,-78.131856
,star,20.852718,-44.852217
,star,20.852774,55.488745
,star,20.853088,-1.102694
,star,20.85316,-25.582536
,star,20.853459,3.490586
,star,20.853503,-21.992082
,star,20.85379,46.651568
,star,20.853946,-38.26786
,star,20.85437,72.948034
,star,20.855191,-42.07041
,star,20.85529,-13.924421
,star,20.855464,-4.286574
,star,20.85562,-57.462493
,star,20.855756,16.912426
,star,20.855887,-7.945131
,star,20.856292,-26.779789
,star,20.856566,-50.649407
,star,20.85668,39.652887
,star,20.856699,57.06199
,star,20.856804,1.331611
,star,20.857152,-5.626633
,star,20.85716,27.428736
,star,20.857709,39.392328
,star,20.857738,-21.921412
,star,20.857844,28.250505
,star,20.858347,-51.608179
,star,20.858528,47.707676
,star,20.858569,56.365746
,star,20.858594,37.989494
,star,20.859336,-27.244763
,star,20.859417,-56.388164
,star,20.859478,-13.750001
,star,20.859482,49.654317
,star,20.85999,32.562099
,star,20.860069,-27.995257
,star,20.860236,-34.861091
,star,20.860401,-73.692049
,star,20.860681,-62.429335
,star,20.860783,-29.441981
,star,20.860891,-45.455984
,star,20.861304,-61.415391
,star,20.861672,1.146838
,star,20.861984,-66.997547
,star,20.861989,12.035552
,star,20.862069,73.080331
,star,20.862301,74.780328
,star,20.862374,49.697146
,star,20.862388,13.561408
,star,20.862768,20.200272
,star,20.863012,9.665995
,star,20.863137,-10.31726
,star,20.863202,69.097354
,star,20.863422,13.918862
,star,20.863692,-26.919133
,star,20.863799,-34.561079
,star,20.863844,23.331445
,star,20.863851,21.868668
,star,20.863946,74.639083
,star,20.864162,56.834626
,star,20.86516,-78.873255
,star,20.86551,33.27826
,star,20.865545,8.772711
,star,20.86593,46.734783
,star,20.866274,62.18812
,star,20.866288,43.757984
,star,20.866322,-33.177974
,star,20.866628,-9.399906
,star,20.866686,78.205988
,star,20.866775,32.848894
,star,20.866876,-11.439535
,star,20.867075,-5.933033
,star,20.867176,-2.261359
,star,20.867544,7.582443
,star,20.867629,-22.928087
,star,20.86766,34.657632
,star,20.867836,-38.165167
,star,20.867881,63.645688
,star,20.868094,-33.881857
,star,20.868493,38.587449
,star,20.868801,27.096979
,star,20.869082,-5.507059
,star,20.869142,-44.117476
,star,20.869366,44.434613
,star,20.870296,-65.144913
,star,20.870412,33.803213
,star,20.870432,-66.530802
,star,20.870587,-30.697098
,star,20.870617,39.501308
,star,20.870744,35.734612
,star,20.870863,66.284776
,star,20.870843,30.625832
,star,20.870871,-43.883651
,star,20.871038,-0.119022
,star,20.871139,-19.643598
,star,20.871213,-39.997364
,star,20.871883,-4.702578
,star,20.871981,5.949074
,star,20.872268,10.732316
,star,20.872425,50.633013
,star,20.872494,55.051243
,star,20.872514,15.106321
,star,20.872656,-3.220575
,star,20.872662,-21.230894
,star,20.872734,20.128209
,star,20.872936,-64.767586
,star,20.873391,52.659465
,star,20.874052,-67.599243
,star,20.874303,-19.529894
,star,20.874465,56.831264
,star,20.874769,-8.063026
,star,20.874787,58.655069
,star,20.874975,18.027331
,star,20.875294,-13.20295
,star,20.875677,-48.255159
,star,20.87584,-16.974738
,star,20.875933,44.19504
,star,20.876172,41.97961
,star,20.876222,-31.693413
,star,20.877101,-38.90646
,star,20.877207,37.928136
,star,20.877565,-8.983318
,star,20.877689,-64.534691
,star,20.877966,84.65887
,star,20.878226,-53.273407
,star,20.878647,-39.108629
,star,20.87868,56.584961
,star,20.878691,38.805756
,star,20.878841,44.714809
,star,20.878848,-56.719607
,star,20.879108,-10.065066
,star,20.879145,46.11322
,star,20.879305,-47.918624
,star,20.87997,31.726694
,star,20.880093,60.980898
,star,20.880457,-16.165211
,star,20.880972,-29.60938
,star,20.881446,42.607743
,star,20.88155,24.914583
,star,20.881612,-50.52216
,star,20.881654,-54.563684
,star,20.881658,-24.214665
,star,20.88228,29.331921
,star,20.88259,42.974146
,star,20.882699,10.996053
,star,20.883278,23.371122
,star,20.883598,20.771617
,star,20.883653,-23.783203
,star,20.883659,-2.244815
,star,20.884303,34.752102
,star,20.88451,29.145465
,star,20.88467,-56.220128
,star,20.884748,-42.585896
,star,20.884888,-11.573659
,star,20.885283,-35.868845
,star,20.88538,29.649097
,star,20.885528,6.268127
,star,20.885821,-46.617945
,star,20.8864,-31.515083
,star,20.886467,15.43189
,star,20.887043,40.328359
,star,20.887118,16.341647
,star,20.88719,42.363078
,star,20.887293,2.449975
,star,20.887319,-36.51393
,star,20.887431,44.38726
,star,20.887837,-65.396792
,star,20.888218,-34.66241
,star,20.888418,54.518102
,star,20.888432,57.552999
,star,20.88849,45.181673
,star,20.888798,-45.318064
,star,20.88883,62.15439
,star,20.888944,-28.024254
,star,20.889227,39.340712
,star,20.889475,17.323599
,star,20.889588,-63.3167
,star,20.889659,19.115564
,star,20.890167,-46.694145
,star,20.890266,-30.718954
,star,20.890422,48.267492
,star,20.890445,-64.19729
,star,20.890446,8.164472
,star,20.890533,-49.3829
,star,20.890663,42.410201
,star,20.890818,10.234497
,star,20.89086,0.325447
,star,20.891642,3.002025
,star,20.892191,34.746133
,star,20.892264,45.383961
,star,20.892271,-19.113732
,star,20.892419,30.951339
,star,20.892595,31.626196
,star,20.892795,-14.420433
,star,20.892998,-77.838634
,star,20.893013,-41.075052
,star,20.893166,35.227929
,star,20.894014,19.591643
,star,20.894119,22.725685
,star,20.894342,21.262002
,star,20.894409,-36.195983
,star,20.894408,-11.654673
,star,20.894411,41.049566
,star,20.894494,-39.809865
,star,20.894781,61.775984
,star,20.894784,-71.517927
,star,20.894813,59.307628
,star,20.894928,36.130018
,star,20.895205,54.842465
,star,20.895644,-44.340748
,star,20.895663,27.726176
,star,20.895732,-59.708411
,star,20.896032,-36.713046
,star,20.896485,37.385619
,star,20.89708,-18.789321
,star,20.897706,-49.449597
,star,20.897728,-55.587364
,star,20.897829,56.363016
,star,20.897851,-40.784054
,star,20.89789,49.533424
,star,20.898235,44.386411
,star,20.898304,33.437891
,star,20.898467,58.895415
,star,20.898807,24.452051
,star,20.898828,-26.319802
,star,20.899089,29.499667
,star,20.89916,-2.765928
,star,20.899298,-12.291731
,star,20.899362,24.100169
,star,20.899455,45.656755
,star,20.899552,-6.889461
,star,20.899714,1.424461
,star,20.899766,-61.965442
,star,20.899816,-35.023661
,star,20.900306,-24.280572
,star,20.900398,48.437534
,star,20.900619,7.092916
,star,20.900808,-48.214756
,star,20.900861,-10.924271
,star,20.901235,40.901235
,star,20.901345,-4.542177
,star,20.901472,9.375988
,star,20.90159,-18.99684
,star,20.901649,45.11015
,star,20.901825,-27.925239
,star,20.901874,18.028114
,star,20.902036,78.250792
,star,20.902085,3.954522
,star,20.902925,19.754112
,star,20.903282,-32.850886
,star,20.903857,-51.621111
,star,20.90421,24.792306
,star,20.904453,-37.92711
,star,20.90471,-46.711447
,star,20.904866,-35.807109
,star,20.905013,-43.082106
,star,20.905095,28.981439
,star,20.905148,-26.625946
,star,20.905452,-52.022994
,star,20.905574,-62.835515
,star,20.905625,8.185622
,star,20.905841,11.075486
,star,20.906022,-8.511407
,star,20.906064,53.766874
,star,20.906181,40.702959
,star,20.906221,28.521996
,star,20.906229,69.947521
,star,20.906652,-25.576533
,star,20.906715,-29.681943
,star,20.906728,-53.589519
,star,20.907154,12.074336
,star,20.907228,48.929813
,star,20.907811,21.703037
,star,20.908695,25.646394
,star,20.909288,30.764071
,star,20.909344,28.057621
,star,20.909477,-52.523741
,star,20.909536,23.20651
,star,20.909626,11.442385
,star,20.909749,51.506147
,star,20.909751,-50.727341
,star,20.909775,-36.894538
,star,20.90998,-27.930502
,star,20.910117,-49.633436
,star,20.910167,47.739731
,star,20.910177,5.016294
,star,20.910528,26.474919
,star,20.911091,46.231195
,star,20.911211,29.823272
,star,20.911439,-45.730706
,star,20.911665,37.073708
,star,20.911943,3.607919
,star,20.912055,21.040668
,star,20.912117,-20.94931
,star,20.912304,75.92557
,star,20.912391,-34.880028
,star,20.912551,-29.408369
,star,20.912582,45.136277
,star,20.91287,-8.883319
,star,20.913039,-18.792791
,star,20.913048,-0.379667
,star,20.913283,-17.922894
,star,20.913498,-58.454155
,star,20.913503,-73.068169
,star,20.913543,-60.210044
,star,20.913663,-46.600636
,star,20.913816,-64.199956
,star,20.913853,32.706428
,star,20.914021,-54.442313
,star,20.914053,34.356227
,star,20.914309,-83.85404
,star,20.914835,17.691775
,star,20.915043,-1.375761
,star,20.915421,-0.703051
,star,20.915521,36.784303
,star,20.915563,-15.283127
,star,20.915981,47.533805
,star,20.916036,33.764005
,star,20.916553,81.804816
,star,20.917036,-42.864993
,star,20.917169,53.733478
,star,20.917272,17.25956
,star,20.917306,-41.410939
,star,20.917333,28.09048
,star,20.917537,19.259058
,star,20.917601,-7.178679
,star,20.91772,66.92769
,star,20.917729,25.884675
,star,20.917866,-22.852436
,star,20.918118,-45.384462
,star,20.918181,39.216351
,star,20.91857,13.176752
,star,20.918541,-41.672122
,star,20.918686,51.501126
,star,20.918882,-28.492209
,star,20.918952,-52.119859
,star,20.918964,-1.373029
,star,20.919014,1.813211
,star,20.919202,46.350156
,star,20.920468,-30.140321
,star,20.920498,-46.232286
,star,20.920922,-1.973003
,star,20.920985,-40.570572
,star,20.921293,43.790478
,star,20.921318,42.300189
,star,20.921496,12.833382
,star,20.921559,9.721162
,star,20.921653,47.48484
,star,20.921656,42.513478
,star,20.921855,-22.123675
,star,20.922849,29.762029
,star,20.92294,62.421169
,star,20.923086,40.300027
,star,20.923273,32.689132
,star,20.923295,-57.867726
,star,20.923455,-11.314283
,star,20.923967,25.230497
,star,20.924024,43.367225
,star,20.924737,-14.615604
,star,20.924778,65.687283
,star,20.92503,-3.81231
,star,20.925063,-40.218696
,star,20.925537,14.142411
,star,20.925868,20.401126
,star,20.92594,26.785553
,star,20.926022,-56.741977
,star,20.926323,-41.505148
,star,20.926366,60.021954
,star,20.926621,-60.522232
,star,20.926858,13.721536
,star,20.926873,38.902325
,star,20.927134,49.868014
,star,20.927253,-30.895786
,star,20.927381,12.568558
,star,20.927395,39.622918
,star,20.92767,-12.867088
,star,20.927966,4.532723
,star,20.927997,-66.149936
,star,20.928238,35.67051
,star,20.928404,53.805878
,star,20.928455,34.026446
,star,20.928704,32.169352
,star,20.929271,64.51628
,star,20.929395,-44.575766
,star,20.929737,7.666251
,star,20.929881,-50.821517
,star,20.929909,-17.114176
,star,20.930501,47.417656
,star,20.930615,3.392793
,star,20.931441,28.700828
,star,20.931792,-31.505673
,star,20.932016,10.876548
,star,20.932071,58.069917
,star,20.932209,59.093326
,star,20.93243,63.085713
,star,20.93276,-65.432909
,star,20.932859,-33.994026
,star,20.933057,44.373933
,star,20.93309,17.866948
,star,20.933217,-59.945648
,star,20.933211,21.406493
,star,20.933269,-15.30386
,star,20.93386,6.332475
,star,20.933894,15.391936
,star,20.93392,31.97431
,star,20.93394,27.575534
,star,20.93426,38.848979
,star,20.934741,-19.032982
,star,20.93483,9.260375
,star,20.935294,-7.716284
,star,20.9357,21.440407
,star,20.935852,28.575291
,star,20.935871,-13.521577
,star,20.935929,-17.243136
,star,20.936013,-57.56985
,star,20.936362,-55.22256
,star,20.936554,43.424311
,star,20.936674,75.719832
,star,20.936885,51.075022
,star,20.936953,-29.070954
,star,20.937097,22.58475
,star,20.938058,56.887519
,star,20.938404,-3.561693
,star,20.938554,42.76872
,star,20.938604,-12.169918
,star,20.938913,-32.269963
,star,20.939007,-4.911976
,star,20.939064,37.468479
,star,20.939809,27.503931
,star,20.939936,36.377359
,star,20.940024,43.129578
,star,20.940125,43.900647
,star,20.940255,65.827591
,star,20.940346,14.816268
,star,20.940407,50.728598
,star,20.940526,49.195847
,star,20.940729,-59.273685
,star,20.941119,-20.584005
,star,20.941191,-37.336858
,star,20.941196,30.427864
,star,20.941336,9.006438
,star,20.941893,14.683282
,star,20.942091,5.404519
,star,20.942549,-53.423894
,star,20.942786,-32.036757
,star,20.942795,-1.063465
,star,20.942994,44.924722
,star,20.943354,-80.370438
,star,20.943579,47.195853
,star,20.943797,-71.531403
,star,20.943822,52.82691
,star,20.944234,34.984283
,star,20.944173,-6.957003
,star,20.944221,19.006657
,star,20.944429,-9.655311
,star,20.944666,56.926664
,star,20.945483,12.992701
,star,20.945505,31.591053
,star,20.94562,10.150848
,star,20.945738,-3.674561
,star,20.945805,62.614935
,star,20.946059,-15.85129
,star,20.946162,35.77457
,star,20.946279,-10.448504
,star,20.946479,-26.296378
,star,20.946495,-44.863501
,star,20.946514,1.715182
,star,20.94666,42.895664
,star,20.946814,-4.846973
,star,20.947402,61.560807
,star,20.94749,-48.671428
,star,20.94771,5.759808
,star,20.947833,-33.998522
,star,20.947984,-22.005746
,star,20.948075,0.503126
,star,20.948224,-0.07989
,star,20.948341,-9.697545
,star,20.948849,10.976188
,star,20.949159,47.578917
,star,20.94924,41.647535
,star,20.950383,17.097471
,star,20.950628,-6.470608
,star,20.950677,-34.104146
,star,20.950734,-50.518737
,star,20.950744,46.545749
,star,20.951324,37.751856
,star,20.951753,-30.178459
,star,20.952704,-67.698861
,star,20.952893,41.167136
,star,20.952935,-36.566067
,star,20.952938,0.463779
,star,20.953015,-37.96322
,star,20.953121,16.251406
,star,20.953254,2.467502
,star,20.953567,5.080389
,star,20.953554,69.057568
,star,20.953622,58.816743
,star,20.953637,35.311727
,star,20.953826,22.878806
,star,20.954075,-59.399363
,star,20.954078,-86.780834
,star,20.954149,2.332674
,star,20.954452,-66.528575
,star,20.954606,48.295773
,star,20.954768,-23.845936
,star,20.955144,-58.167169
,star,20.955248,5.814548
,star,20.955432,25.754986
,star,20.955786,40.177507
,star,20.955924,-27.45115
,star,20.956147,-17.843753
,star,20.956162,87.032668
,star,20.956186,-64.938123
,star,20.956228,-59.075967
,star,20.956236,62.848884
,star,20.956461,-41.082012
,star,20.957034,22.362729
,star,20.956948,41.689571
,star,20.957605,-36.548082
,star,20.957613,18.2968
,star,20.957941,-35.529944
,star,20.958049,0.601876
,star,20.958107,-3.236664
,star,20.958198,59.779839
,star,20.958368,29.825265
,star,20.958538,0.593317
,star,20.958765,-48.620296
,star,20.959884,39.662691
,star,20.960289,33.30116
,star,20.961016,26.405079
,star,20.961041,61.36022
,star,20.961082,-24.489203
,star,20.961157,-7.713468
,star,20.961241,-27.744522
,star,20.961163,-44.129371
,star,20.96129,-16.031539
,star,20.961301,58.822061
,star,20.961687,-24.88596
,star,20.961859,-35.746566
,star,20.961902,-30.823791
,star,20.96198,-32.799868
,star,20.96272,-44.027879
,star,20.962909,-26.239635
,star,20.962941,-21.556701
,star,20.962971,-68.42474
,star,20.96306,-72.288198
,star,20.963499,55.487667
,star,20.963575,4.195487
,star,20.963673,-67.279023
,star,20.963878,67.763485
,star,20.964294,-37.719716
,star,20.964772,44.788149
,star,20.964916,8.394455
,star,20.964968,-46.480544
,star,20.965127,-36.453107
,star,20.965322,-20.074777
,star,20.965744,-33.649132
,star,20.965969,24.252409
,star,20.966587,8.062348
,star,20.966689,-38.688536
,star,20.966779,56.119484
,star,20.967026,-55.950503
,star,20.967202,-11.954926
,star,20.967302,29.394546
,star,20.967369,12.541395
,star,20.967498,6.896882
,star,20.967879,-15.161853
,star,20.968002,50.871898
,star,20.968082,29.277134
,star,20.968181,-22.955932
,star,20.968222,-6.175095
,star,20.968489,17.083452
,star,20.968583,-47.445605
,star,20.969021,-48.203736
,star,20.969115,-61.608143
,star,20.969299,-38.989867
,star,20.969459,-44.915743
,star,20.96984,40.191389
,star,20.969907,-69.146221
,star,20.970373,-39.054664
,star,20.970403,35.174905
,star,20.970433,48.760762
,star,20.97051,-21.335373
,star,20.970918,47.617682
,star,20.970937,82.987192
,star,20.970991,30.395938
,star,20.971209,22.325908
,star,20.971505,8.51535
,star,20.971557,26.903534
,star,20.971701,-55.934856
,star,20.971794,24.22185
,star,20.971864,23.046345
,star,20.97189,-43.751789
,star,20.972052,-76.01909
,star,20.972067,44.471711
,star,20.972319,-80.619892
,star,20.972596,-17.0172
,star,20.973024,-40.993432
,star,20.973605,46.604096
,star,20.973612,26.308454
,star,20.973754,45.149745
,star,20.973785,39.477879
Musica,star,20.973871,10.839286
,star,20.97424,41.357744
,star,20.974493,23.247508
,star,20.975009,50.461791
,star,20.975205,14.852901
,star,20.975264,41.939925
,star,20.975341,16.435554
,star,20.97536,8.800485
,star,20.975395,40.698769
,star,20.975559,-54.365433
,star,20.975619,16.436682
,star,20.975796,-55.797806
,star,20.976716,58.976075
,star,20.977541,38.149824
,star,20.977806,-62.56451
,star,20.977808,-70.422167
,star,20.97817,72.330007
,star,20.978304,34.27418
,star,20.978289,-14.483128
,star,20.978751,-28.243315
,star,20.978749,44.414579
,star,20.978805,31.647512
,star,20.97891,60.499021
,star,20.979202,-3.841459
,star,20.979555,16.42303
,star,20.979781,7.07652
,star,20.979861,-61.811422
,star,20.980429,-3.318136
,star,20.980651,80.157097
,star,20.981274,17.867175
,star,20.981845,20.051283
,star,20.981848,46.252525
,star,20.982121,44.060449
,star,20.982126,28.466064
,star,20.982774,-0.423183
,star,20.982935,47.649306
,star,20.98304,-31.643706
,star,20.983369,5.265212
,star,20.983595,32.237776
,star,20.98398,-18.916254
,star,20.984301,-34.70996
,star,20.984317,22.350451
,star,20.984577,4.293481
,star,20.984717,34.488647
,star,20.984796,-25.380836
,star,20.984753,4.29461
,star,20.984829,9.986711
,star,20.98483,-13.215717
,star,20.985158,-16.093559
,star,20.985181,-6.906695
,star,20.98571,3.552626
,star,20.985701,-48.100828
,star,20.986618,44.790494
,star,20.987241,37.930061
,star,20.987354,-10.713736
,star,20.98764,-38.332482
,star,20.9879,-47.983066
,star,20.987904,15.572694
,star,20.987929,-31.577094
,star,20.988109,8.637674
,star,20.988283,-78.180791
,star,20.988552,-14.135053
,star,20.988593,-42.886563
,star,20.988807,21.008081
,star,20.989224,-8.878487
,star,20.989434,70.965495
,star,20.989562,35.474605
,star,20.989763,36.428841
,star,20.990078,-20.444409
,star,20.990171,42.324466
,star,20.990352,-30.510926
,star,20.990377,59.438594
,star,20.990549,-9.496021
,star,20.990953,-53.738123
,star,20.991029,-16.879601
,star,20.991086,79.302808
,star,20.991178,50.211529
,star,20.991183,40.960236
,star,20.991426,-33.616596
,star,20.99142,55.940067
,star,20.991557,-58.858803
,star,20.991959,-27.02434
,star,20.99198,32.196459
,star,20.992085,-1.467987
,star,20.992445,1.065662
,star,20.992531,43.0643
,star,20.992632,-31.287197
,star,20.992991,61.281817
,star,20.993039,24.302947
,star,20.993372,-19.035283
,star,20.993832,31.27107
,star,20.994057,-17.46659
,star,20.994371,74.286393
,star,20.994535,-52.175037
,star,20.994726,-62.877304
,star,20.994933,-74.443408
,star,20.995079,4.272652
,star,20.995253,38.822918
,star,20.995597,-43.507251
,star,20.995973,-20.471891
,star,20.99621,-4.180189
,star,20.996438,77.455938
,star,20.996679,14.033868
,star,20.996717,-37.031791
,star,20.996772,20.069248
,star,20.997098,47.520951
,star,20.99712,55.218031
,star,20.997194,55.537418
,star,20.997458,16.824342
,star,20.99758,-58.758586
,star,20.997583,44.996452
,star,20.997825,2.855926
,star,20.998535,50.063042
,star,20.998563,-13.051632
,star,20.998676,40.258821
,star,20.999154,29.27914
,star,20.99931,-53.441481
,star,20.999528,18.618942
,star,20.999665,32.495637
,star,20.999911,-36.129641
,star,20.999994,-51.181507
,star,21.000089,42.931268
,star,21.000647,5.593387
,star,21.000906,70.668677
,star,21.001087,-29.477024
,star,21.001106,7.516197
,star,21.001251,-30.583498
,star,21.001455,40.070278
,star,21.001473,-69.579436
,star,21.001773,42.597559
,star,21.001811,-26.556154
,star,21.001835,48.679446
,star,21.002413,-10.628248
,star,21.002986,19.961382
,star,21.003062,-45.620342
,star,21.003441,-40.112714
,star,21.00379,-15.114436
,star,21.003844,-69.727556
